candidate_link_id,undisclosed_entity_id,candidate_entity_id,rank,confidence,rationale,supporting_evidence_ids
cand-c75c933f03c0,ent-60b74b2eb970,ent-027f1972f7f2,1,medium,China Yangtze Power repeatedly appears as an explicit customer in the downloaded-source corpus.,"[""cn-china-yangtze-power-2023-ev-6cc682cc9b"", ""cn-china-yangtze-power-2023-ev-a28ba5ba37"", ""cn-china-yangtze-power-2024-ev-0600587f33"", ""cn-china-yangtze-power-2024-ev-2c74a42116"", ""cn-china-yangtze-power-2024-ev-88ed9a55c7"", ""cn-china-yangtze-power-2024-ev-b9c9d4d887""]"
cand-a724216fc819,ent-60b74b2eb970,ent-6ac4ef6eabc4,2,medium,国家电网有限公司 repeatedly appears as an explicit customer in the downloaded-source corpus.,"[""cn-china-yangtze-power-2023-ev-3dd9bd98a2"", ""cn-china-yangtze-power-2023-ev-94ac79a487"", ""cn-china-yangtze-power-2024-ev-2004f96960"", ""cn-china-yangtze-power-2024-ev-537374125a""]"
cand-ebb7dd2a4891,ent-60b74b2eb970,ent-ceb27ac07b15,3,medium,中国南方电网有限责任公司 repeatedly appears as an explicit customer in the downloaded-source corpus.,"[""cn-china-yangtze-power-2023-ev-525768c6f9"", ""cn-china-yangtze-power-2023-ev-5a57116866"", ""cn-china-yangtze-power-2024-ev-076e6c493d""]"
cand-8705f0f294a9,ent-60b74b2eb970,ent-58ab7db982f7,4,low,广东电网有限责任公司 repeatedly appears as an explicit customer in the downloaded-source corpus.,"[""cn-china-yangtze-power-2023-ev-00bef1cbd6"", ""cn-china-yangtze-power-2024-ev-4f226e3697""]"
cand-063721440724,ent-60b74b2eb970,ent-b6f6e4bf5b2c,5,low,中国南方电网有限责任公司超高压输电公司 repeatedly appears as an explicit customer in the downloaded-source corpus.,"[""cn-china-yangtze-power-2024-ev-f81935162e""]"
cand-fc2a50147478,ent-72a4952e5023,ent-027f1972f7f2,1,medium,China Yangtze Power repeatedly appears as an explicit customer in the downloaded-source corpus.,"[""cn-china-yangtze-power-2023-ev-6cc682cc9b"", ""cn-china-yangtze-power-2023-ev-a28ba5ba37"", ""cn-china-yangtze-power-2024-ev-0600587f33"", ""cn-china-yangtze-power-2024-ev-2c74a42116"", ""cn-china-yangtze-power-2024-ev-88ed9a55c7"", ""cn-china-yangtze-power-2024-ev-b9c9d4d887""]"
cand-19e1c2c1af5f,ent-72a4952e5023,ent-6ac4ef6eabc4,2,medium,国家电网有限公司 repeatedly appears as an explicit customer in the downloaded-source corpus.,"[""cn-china-yangtze-power-2023-ev-3dd9bd98a2"", ""cn-china-yangtze-power-2023-ev-94ac79a487"", ""cn-china-yangtze-power-2024-ev-2004f96960"", ""cn-china-yangtze-power-2024-ev-537374125a""]"
cand-ae778ef44585,ent-72a4952e5023,ent-ceb27ac07b15,3,medium,中国南方电网有限责任公司 repeatedly appears as an explicit customer in the downloaded-source corpus.,"[""cn-china-yangtze-power-2023-ev-525768c6f9"", ""cn-china-yangtze-power-2023-ev-5a57116866"", ""cn-china-yangtze-power-2024-ev-076e6c493d""]"
cand-5cdd363de69b,ent-72a4952e5023,ent-58ab7db982f7,4,low,广东电网有限责任公司 repeatedly appears as an explicit customer in the downloaded-source corpus.,"[""cn-china-yangtze-power-2023-ev-00bef1cbd6"", ""cn-china-yangtze-power-2024-ev-4f226e3697""]"
cand-18202e825254,ent-72a4952e5023,ent-b6f6e4bf5b2c,5,low,中国南方电网有限责任公司超高压输电公司 repeatedly appears as an explicit customer in the downloaded-source corpus.,"[""cn-china-yangtze-power-2024-ev-f81935162e""]"
cand-d925e9dbe615,ent-3e3511d59940,ent-027f1972f7f2,1,medium,China Yangtze Power repeatedly appears as an explicit customer in the downloaded-source corpus.,"[""cn-china-yangtze-power-2023-ev-6cc682cc9b"", ""cn-china-yangtze-power-2023-ev-a28ba5ba37"", ""cn-china-yangtze-power-2024-ev-0600587f33"", ""cn-china-yangtze-power-2024-ev-2c74a42116"", ""cn-china-yangtze-power-2024-ev-88ed9a55c7"", ""cn-china-yangtze-power-2024-ev-b9c9d4d887""]"
cand-6afa9179f250,ent-3e3511d59940,ent-6ac4ef6eabc4,2,medium,国家电网有限公司 repeatedly appears as an explicit customer in the downloaded-source corpus.,"[""cn-china-yangtze-power-2023-ev-3dd9bd98a2"", ""cn-china-yangtze-power-2023-ev-94ac79a487"", ""cn-china-yangtze-power-2024-ev-2004f96960"", ""cn-china-yangtze-power-2024-ev-537374125a""]"
cand-5fe18d4c67f2,ent-3e3511d59940,ent-ceb27ac07b15,3,medium,中国南方电网有限责任公司 repeatedly appears as an explicit customer in the downloaded-source corpus.,"[""cn-china-yangtze-power-2023-ev-525768c6f9"", ""cn-china-yangtze-power-2023-ev-5a57116866"", ""cn-china-yangtze-power-2024-ev-076e6c493d""]"
cand-16f9190da5d2,ent-3e3511d59940,ent-58ab7db982f7,4,low,广东电网有限责任公司 repeatedly appears as an explicit customer in the downloaded-source corpus.,"[""cn-china-yangtze-power-2023-ev-00bef1cbd6"", ""cn-china-yangtze-power-2024-ev-4f226e3697""]"
cand-7ee8130122b0,ent-3e3511d59940,ent-b6f6e4bf5b2c,5,low,中国南方电网有限责任公司超高压输电公司 repeatedly appears as an explicit customer in the downloaded-source corpus.,"[""cn-china-yangtze-power-2024-ev-f81935162e""]"
cand-a2bfc8b9cc40,ent-f8238114d644,ent-027f1972f7f2,1,medium,China Yangtze Power repeatedly appears as an explicit customer in the downloaded-source corpus.,"[""cn-china-yangtze-power-2023-ev-6cc682cc9b"", ""cn-china-yangtze-power-2023-ev-a28ba5ba37"", ""cn-china-yangtze-power-2024-ev-0600587f33"", ""cn-china-yangtze-power-2024-ev-2c74a42116"", ""cn-china-yangtze-power-2024-ev-88ed9a55c7"", ""cn-china-yangtze-power-2024-ev-b9c9d4d887""]"
cand-e4ab22c5616a,ent-f8238114d644,ent-6ac4ef6eabc4,2,medium,国家电网有限公司 repeatedly appears as an explicit customer in the downloaded-source corpus.,"[""cn-china-yangtze-power-2023-ev-3dd9bd98a2"", ""cn-china-yangtze-power-2023-ev-94ac79a487"", ""cn-china-yangtze-power-2024-ev-2004f96960"", ""cn-china-yangtze-power-2024-ev-537374125a""]"
cand-cd1894cf3f4f,ent-f8238114d644,ent-ceb27ac07b15,3,medium,中国南方电网有限责任公司 repeatedly appears as an explicit customer in the downloaded-source corpus.,"[""cn-china-yangtze-power-2023-ev-525768c6f9"", ""cn-china-yangtze-power-2023-ev-5a57116866"", ""cn-china-yangtze-power-2024-ev-076e6c493d""]"
cand-008026d760f0,ent-f8238114d644,ent-58ab7db982f7,4,low,广东电网有限责任公司 repeatedly appears as an explicit customer in the downloaded-source corpus.,"[""cn-china-yangtze-power-2023-ev-00bef1cbd6"", ""cn-china-yangtze-power-2024-ev-4f226e3697""]"
cand-794f35e2db37,ent-f8238114d644,ent-b6f6e4bf5b2c,5,low,中国南方电网有限责任公司超高压输电公司 repeatedly appears as an explicit customer in the downloaded-source corpus.,"[""cn-china-yangtze-power-2024-ev-f81935162e""]"
cand-c79e11597b96,ent-edd13622c61c,ent-027f1972f7f2,1,medium,China Yangtze Power repeatedly appears as an explicit customer in the downloaded-source corpus.,"[""cn-china-yangtze-power-2023-ev-6cc682cc9b"", ""cn-china-yangtze-power-2023-ev-a28ba5ba37"", ""cn-china-yangtze-power-2024-ev-0600587f33"", ""cn-china-yangtze-power-2024-ev-2c74a42116"", ""cn-china-yangtze-power-2024-ev-88ed9a55c7"", ""cn-china-yangtze-power-2024-ev-b9c9d4d887""]"
cand-bdb41622ab5b,ent-edd13622c61c,ent-6ac4ef6eabc4,2,medium,国家电网有限公司 repeatedly appears as an explicit customer in the downloaded-source corpus.,"[""cn-china-yangtze-power-2023-ev-3dd9bd98a2"", ""cn-china-yangtze-power-2023-ev-94ac79a487"", ""cn-china-yangtze-power-2024-ev-2004f96960"", ""cn-china-yangtze-power-2024-ev-537374125a""]"
cand-f57b3eef3879,ent-edd13622c61c,ent-ceb27ac07b15,3,medium,中国南方电网有限责任公司 repeatedly appears as an explicit customer in the downloaded-source corpus.,"[""cn-china-yangtze-power-2023-ev-525768c6f9"", ""cn-china-yangtze-power-2023-ev-5a57116866"", ""cn-china-yangtze-power-2024-ev-076e6c493d""]"
cand-44b1cc291b58,ent-edd13622c61c,ent-58ab7db982f7,4,low,广东电网有限责任公司 repeatedly appears as an explicit customer in the downloaded-source corpus.,"[""cn-china-yangtze-power-2023-ev-00bef1cbd6"", ""cn-china-yangtze-power-2024-ev-4f226e3697""]"
cand-60927ac971c5,ent-edd13622c61c,ent-b6f6e4bf5b2c,5,low,中国南方电网有限责任公司超高压输电公司 repeatedly appears as an explicit customer in the downloaded-source corpus.,"[""cn-china-yangtze-power-2024-ev-f81935162e""]"
cand-ab7998a084dc,ent-e76b91fdf2d4,ent-027f1972f7f2,1,medium,China Yangtze Power repeatedly appears as an explicit supplier in the downloaded-source corpus.,"[""cn-china-yangtze-power-2023-ev-00bef1cbd6"", ""cn-china-yangtze-power-2023-ev-3dd9bd98a2"", ""cn-china-yangtze-power-2023-ev-525768c6f9"", ""cn-china-yangtze-power-2023-ev-5a57116866"", ""cn-china-yangtze-power-2023-ev-94ac79a487"", ""cn-china-yangtze-power-2024-ev-076e6c493d"", ""cn-china-yangtze-power-2024-ev-2004f96960"", ""cn-china-yangtze-power-2024-ev-4f226e3697"", ""cn-china-yangtze-power-2024-ev-537374125a"", ""cn-china-yangtze-power-2024-ev-f81935162e""]"
cand-dcf418ea0294,ent-e76b91fdf2d4,ent-6f86e4d33957,2,low,Foxconn Industrial Internet repeatedly appears as an explicit supplier in the downloaded-source corpus.,"[""cn-foxconn-industrial-internet-2023-ev-ecb6a4b2ff""]"
cand-fb345316b452,ent-e76b91fdf2d4,ent-aa0c3335acf9,3,low,三峡基地发展有限公司 repeatedly appears as an explicit supplier in the downloaded-source corpus.,"[""cn-china-yangtze-power-2023-ev-6cc682cc9b""]"
cand-8bf75c643bf1,ent-e76b91fdf2d4,ent-3c1dfb3f4b19,4,low,中国电建集团华东勘测设计研究院有限公司 repeatedly appears as an explicit supplier in the downloaded-source corpus.,"[""cn-china-yangtze-power-2024-ev-88ed9a55c7""]"
cand-223c56973ba0,ent-e76b91fdf2d4,ent-694b32cf4c4c,5,low,中国能源建设集团山西省电力勘测设计院有限公司 repeatedly appears as an explicit supplier in the downloaded-source corpus.,"[""cn-china-yangtze-power-2024-ev-0600587f33""]"
cand-9d204bc85eaf,ent-80ccdb60bd95,ent-027f1972f7f2,1,medium,China Yangtze Power repeatedly appears as an explicit supplier in the downloaded-source corpus.,"[""cn-china-yangtze-power-2023-ev-00bef1cbd6"", ""cn-china-yangtze-power-2023-ev-3dd9bd98a2"", ""cn-china-yangtze-power-2023-ev-525768c6f9"", ""cn-china-yangtze-power-2023-ev-5a57116866"", ""cn-china-yangtze-power-2023-ev-94ac79a487"", ""cn-china-yangtze-power-2024-ev-076e6c493d"", ""cn-china-yangtze-power-2024-ev-2004f96960"", ""cn-china-yangtze-power-2024-ev-4f226e3697"", ""cn-china-yangtze-power-2024-ev-537374125a"", ""cn-china-yangtze-power-2024-ev-f81935162e""]"
cand-642f9caca8bf,ent-80ccdb60bd95,ent-6f86e4d33957,2,low,Foxconn Industrial Internet repeatedly appears as an explicit supplier in the downloaded-source corpus.,"[""cn-foxconn-industrial-internet-2023-ev-ecb6a4b2ff""]"
cand-c962dc846649,ent-80ccdb60bd95,ent-aa0c3335acf9,3,low,三峡基地发展有限公司 repeatedly appears as an explicit supplier in the downloaded-source corpus.,"[""cn-china-yangtze-power-2023-ev-6cc682cc9b""]"
cand-d497975ccb1d,ent-80ccdb60bd95,ent-3c1dfb3f4b19,4,low,中国电建集团华东勘测设计研究院有限公司 repeatedly appears as an explicit supplier in the downloaded-source corpus.,"[""cn-china-yangtze-power-2024-ev-88ed9a55c7""]"
cand-4156c4b9ca6c,ent-80ccdb60bd95,ent-694b32cf4c4c,5,low,中国能源建设集团山西省电力勘测设计院有限公司 repeatedly appears as an explicit supplier in the downloaded-source corpus.,"[""cn-china-yangtze-power-2024-ev-0600587f33""]"
cand-4f54ddd5ba63,ent-5f1cb462f105,ent-027f1972f7f2,1,medium,China Yangtze Power repeatedly appears as an explicit supplier in the downloaded-source corpus.,"[""cn-china-yangtze-power-2023-ev-00bef1cbd6"", ""cn-china-yangtze-power-2023-ev-3dd9bd98a2"", ""cn-china-yangtze-power-2023-ev-525768c6f9"", ""cn-china-yangtze-power-2023-ev-5a57116866"", ""cn-china-yangtze-power-2023-ev-94ac79a487"", ""cn-china-yangtze-power-2024-ev-076e6c493d"", ""cn-china-yangtze-power-2024-ev-2004f96960"", ""cn-china-yangtze-power-2024-ev-4f226e3697"", ""cn-china-yangtze-power-2024-ev-537374125a"", ""cn-china-yangtze-power-2024-ev-f81935162e""]"
cand-05c5b743b84d,ent-5f1cb462f105,ent-6f86e4d33957,2,low,Foxconn Industrial Internet repeatedly appears as an explicit supplier in the downloaded-source corpus.,"[""cn-foxconn-industrial-internet-2023-ev-ecb6a4b2ff""]"
cand-224c7a8a29e8,ent-5f1cb462f105,ent-aa0c3335acf9,3,low,三峡基地发展有限公司 repeatedly appears as an explicit supplier in the downloaded-source corpus.,"[""cn-china-yangtze-power-2023-ev-6cc682cc9b""]"
cand-fc07937f9f71,ent-5f1cb462f105,ent-3c1dfb3f4b19,4,low,中国电建集团华东勘测设计研究院有限公司 repeatedly appears as an explicit supplier in the downloaded-source corpus.,"[""cn-china-yangtze-power-2024-ev-88ed9a55c7""]"
cand-1ec6c457c99d,ent-5f1cb462f105,ent-694b32cf4c4c,5,low,中国能源建设集团山西省电力勘测设计院有限公司 repeatedly appears as an explicit supplier in the downloaded-source corpus.,"[""cn-china-yangtze-power-2024-ev-0600587f33""]"
cand-6f5f50b19c9e,ent-5c865ebad642,ent-027f1972f7f2,1,medium,China Yangtze Power repeatedly appears as an explicit supplier in the downloaded-source corpus.,"[""cn-china-yangtze-power-2023-ev-00bef1cbd6"", ""cn-china-yangtze-power-2023-ev-3dd9bd98a2"", ""cn-china-yangtze-power-2023-ev-525768c6f9"", ""cn-china-yangtze-power-2023-ev-5a57116866"", ""cn-china-yangtze-power-2023-ev-94ac79a487"", ""cn-china-yangtze-power-2024-ev-076e6c493d"", ""cn-china-yangtze-power-2024-ev-2004f96960"", ""cn-china-yangtze-power-2024-ev-4f226e3697"", ""cn-china-yangtze-power-2024-ev-537374125a"", ""cn-china-yangtze-power-2024-ev-f81935162e""]"
cand-486e8031cad7,ent-5c865ebad642,ent-6f86e4d33957,2,low,Foxconn Industrial Internet repeatedly appears as an explicit supplier in the downloaded-source corpus.,"[""cn-foxconn-industrial-internet-2023-ev-ecb6a4b2ff""]"
cand-5fd4f99210fd,ent-5c865ebad642,ent-aa0c3335acf9,3,low,三峡基地发展有限公司 repeatedly appears as an explicit supplier in the downloaded-source corpus.,"[""cn-china-yangtze-power-2023-ev-6cc682cc9b""]"
cand-59e6838c42b0,ent-5c865ebad642,ent-3c1dfb3f4b19,4,low,中国电建集团华东勘测设计研究院有限公司 repeatedly appears as an explicit supplier in the downloaded-source corpus.,"[""cn-china-yangtze-power-2024-ev-88ed9a55c7""]"
cand-183aadc125be,ent-5c865ebad642,ent-694b32cf4c4c,5,low,中国能源建设集团山西省电力勘测设计院有限公司 repeatedly appears as an explicit supplier in the downloaded-source corpus.,"[""cn-china-yangtze-power-2024-ev-0600587f33""]"
cand-32b09feb78b2,ent-5a0b47c4cf5a,ent-027f1972f7f2,1,medium,China Yangtze Power repeatedly appears as an explicit supplier in the downloaded-source corpus.,"[""cn-china-yangtze-power-2023-ev-00bef1cbd6"", ""cn-china-yangtze-power-2023-ev-3dd9bd98a2"", ""cn-china-yangtze-power-2023-ev-525768c6f9"", ""cn-china-yangtze-power-2023-ev-5a57116866"", ""cn-china-yangtze-power-2023-ev-94ac79a487"", ""cn-china-yangtze-power-2024-ev-076e6c493d"", ""cn-china-yangtze-power-2024-ev-2004f96960"", ""cn-china-yangtze-power-2024-ev-4f226e3697"", ""cn-china-yangtze-power-2024-ev-537374125a"", ""cn-china-yangtze-power-2024-ev-f81935162e""]"
cand-6bb2dd671f64,ent-5a0b47c4cf5a,ent-6f86e4d33957,2,low,Foxconn Industrial Internet repeatedly appears as an explicit supplier in the downloaded-source corpus.,"[""cn-foxconn-industrial-internet-2023-ev-ecb6a4b2ff""]"
cand-5bb49d2d3c77,ent-5a0b47c4cf5a,ent-aa0c3335acf9,3,low,三峡基地发展有限公司 repeatedly appears as an explicit supplier in the downloaded-source corpus.,"[""cn-china-yangtze-power-2023-ev-6cc682cc9b""]"
cand-25de7cf19f8e,ent-5a0b47c4cf5a,ent-3c1dfb3f4b19,4,low,中国电建集团华东勘测设计研究院有限公司 repeatedly appears as an explicit supplier in the downloaded-source corpus.,"[""cn-china-yangtze-power-2024-ev-88ed9a55c7""]"
cand-80c6aaa69358,ent-5a0b47c4cf5a,ent-694b32cf4c4c,5,low,中国能源建设集团山西省电力勘测设计院有限公司 repeatedly appears as an explicit supplier in the downloaded-source corpus.,"[""cn-china-yangtze-power-2024-ev-0600587f33""]"
cand-b385d3800ddd,ent-9e20590e0049,ent-027f1972f7f2,1,medium,China Yangtze Power repeatedly appears as an explicit customer in the downloaded-source corpus.,"[""cn-china-yangtze-power-2023-ev-6cc682cc9b"", ""cn-china-yangtze-power-2023-ev-a28ba5ba37"", ""cn-china-yangtze-power-2024-ev-0600587f33"", ""cn-china-yangtze-power-2024-ev-2c74a42116"", ""cn-china-yangtze-power-2024-ev-88ed9a55c7"", ""cn-china-yangtze-power-2024-ev-b9c9d4d887""]"
cand-70c038bc610f,ent-9e20590e0049,ent-6ac4ef6eabc4,2,medium,国家电网有限公司 repeatedly appears as an explicit customer in the downloaded-source corpus.,"[""cn-china-yangtze-power-2023-ev-3dd9bd98a2"", ""cn-china-yangtze-power-2023-ev-94ac79a487"", ""cn-china-yangtze-power-2024-ev-2004f96960"", ""cn-china-yangtze-power-2024-ev-537374125a""]"
cand-9bda60084288,ent-9e20590e0049,ent-ceb27ac07b15,3,medium,中国南方电网有限责任公司 repeatedly appears as an explicit customer in the downloaded-source corpus.,"[""cn-china-yangtze-power-2023-ev-525768c6f9"", ""cn-china-yangtze-power-2023-ev-5a57116866"", ""cn-china-yangtze-power-2024-ev-076e6c493d""]"
cand-a4edc1f661e4,ent-9e20590e0049,ent-58ab7db982f7,4,low,广东电网有限责任公司 repeatedly appears as an explicit customer in the downloaded-source corpus.,"[""cn-china-yangtze-power-2023-ev-00bef1cbd6"", ""cn-china-yangtze-power-2024-ev-4f226e3697""]"
cand-cac1f95cb6de,ent-9e20590e0049,ent-b6f6e4bf5b2c,5,low,中国南方电网有限责任公司超高压输电公司 repeatedly appears as an explicit customer in the downloaded-source corpus.,"[""cn-china-yangtze-power-2024-ev-f81935162e""]"
cand-850c63c0e6ef,ent-3895a3fc5681,ent-027f1972f7f2,1,medium,China Yangtze Power repeatedly appears as an explicit customer in the downloaded-source corpus.,"[""cn-china-yangtze-power-2023-ev-6cc682cc9b"", ""cn-china-yangtze-power-2023-ev-a28ba5ba37"", ""cn-china-yangtze-power-2024-ev-0600587f33"", ""cn-china-yangtze-power-2024-ev-2c74a42116"", ""cn-china-yangtze-power-2024-ev-88ed9a55c7"", ""cn-china-yangtze-power-2024-ev-b9c9d4d887""]"
cand-1f5ded8440c5,ent-3895a3fc5681,ent-6ac4ef6eabc4,2,medium,国家电网有限公司 repeatedly appears as an explicit customer in the downloaded-source corpus.,"[""cn-china-yangtze-power-2023-ev-3dd9bd98a2"", ""cn-china-yangtze-power-2023-ev-94ac79a487"", ""cn-china-yangtze-power-2024-ev-2004f96960"", ""cn-china-yangtze-power-2024-ev-537374125a""]"
cand-06788b503154,ent-3895a3fc5681,ent-ceb27ac07b15,3,medium,中国南方电网有限责任公司 repeatedly appears as an explicit customer in the downloaded-source corpus.,"[""cn-china-yangtze-power-2023-ev-525768c6f9"", ""cn-china-yangtze-power-2023-ev-5a57116866"", ""cn-china-yangtze-power-2024-ev-076e6c493d""]"
cand-bbb68b6ec26f,ent-3895a3fc5681,ent-58ab7db982f7,4,low,广东电网有限责任公司 repeatedly appears as an explicit customer in the downloaded-source corpus.,"[""cn-china-yangtze-power-2023-ev-00bef1cbd6"", ""cn-china-yangtze-power-2024-ev-4f226e3697""]"
cand-ffeb94daad33,ent-3895a3fc5681,ent-b6f6e4bf5b2c,5,low,中国南方电网有限责任公司超高压输电公司 repeatedly appears as an explicit customer in the downloaded-source corpus.,"[""cn-china-yangtze-power-2024-ev-f81935162e""]"
cand-e7b96aa88af2,ent-525021b4367d,ent-027f1972f7f2,1,medium,China Yangtze Power repeatedly appears as an explicit customer in the downloaded-source corpus.,"[""cn-china-yangtze-power-2023-ev-6cc682cc9b"", ""cn-china-yangtze-power-2023-ev-a28ba5ba37"", ""cn-china-yangtze-power-2024-ev-0600587f33"", ""cn-china-yangtze-power-2024-ev-2c74a42116"", ""cn-china-yangtze-power-2024-ev-88ed9a55c7"", ""cn-china-yangtze-power-2024-ev-b9c9d4d887""]"
cand-7509ee7a3def,ent-525021b4367d,ent-6ac4ef6eabc4,2,medium,国家电网有限公司 repeatedly appears as an explicit customer in the downloaded-source corpus.,"[""cn-china-yangtze-power-2023-ev-3dd9bd98a2"", ""cn-china-yangtze-power-2023-ev-94ac79a487"", ""cn-china-yangtze-power-2024-ev-2004f96960"", ""cn-china-yangtze-power-2024-ev-537374125a""]"
cand-38d22797fd74,ent-525021b4367d,ent-ceb27ac07b15,3,medium,中国南方电网有限责任公司 repeatedly appears as an explicit customer in the downloaded-source corpus.,"[""cn-china-yangtze-power-2023-ev-525768c6f9"", ""cn-china-yangtze-power-2023-ev-5a57116866"", ""cn-china-yangtze-power-2024-ev-076e6c493d""]"
cand-138afb153fb1,ent-525021b4367d,ent-58ab7db982f7,4,low,广东电网有限责任公司 repeatedly appears as an explicit customer in the downloaded-source corpus.,"[""cn-china-yangtze-power-2023-ev-00bef1cbd6"", ""cn-china-yangtze-power-2024-ev-4f226e3697""]"
cand-c6bf5ea1a5c3,ent-525021b4367d,ent-b6f6e4bf5b2c,5,low,中国南方电网有限责任公司超高压输电公司 repeatedly appears as an explicit customer in the downloaded-source corpus.,"[""cn-china-yangtze-power-2024-ev-f81935162e""]"
